E1,E1a,11.660,115.200,29.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E1,E1b,4.750,159.000,13.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E1,E1c,19.860,304.400,12.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E1b,E1d,8.220,164.000,58.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D31,E2,20.900,94.900,-76.000,0.000,0.000,0.000,0.000,274.800,75.900,,
E2,E3,10.100,90.800,-18.700,0.000,0.000,0.000,0.000,271.100,18.700,,
E3,E4,6.560,115.500,-12.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E4,E5,6.450,72.300,5.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E5,E6,7.600,119.200,-9.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E2,E7,5.900,303.500,-25.800,0.000,0.000,0.000,0.000,124.300,25.500,,
E7,E8,8.900,333.900,38.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E8,E9,12.820,250.100,10.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E7,E10,11.600,313.700,-74.200,0.000,0.000,0.000,0.000,133.600,74.200,,
E11,E10,4.730,240.400,45.400,0.000,0.000,0.000,0.000,60.200,-45.600,,
E11,E11A,12.220,126.300,30.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E11,E12,12.810,172.900,-40.200,0.000,0.000,0.000,0.000,352.800,40.200,,
E12,E12A,11.700,274.000,47.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E12,E12B,13.120,150.800,1.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E12,E12C,6.830,132.100,-33.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E12C,E12D,5.130,82.000,-25.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E12D,E12E,4.630,263.400,-61.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E10,E13_,8.500,262.900,39.400,0.000,0.000,0.000,0.000,83.300,-39.500,,
E13_,E13,23.300,285.700,-14.200,0.000,0.000,0.000,0.000,105.700,14.100,,
E13,E13A,14.710,330.000,52.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E13,E14,8.000,248.700,21.500,0.000,0.000,0.000,0.000,68.700,-21.200,,
E14,E15,0.960,16.100,35.800,0.000,0.000,0.000,0.000,197.400,-36.800,,
E15,D12,6.060,258.200,30.400,0.000,0.000,0.000,0.000,78.200,-30.400,,
E13,E16,7.570,148.900,-12.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E16,E17,7.460,119.200,-55.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E17,E18,8.420,129.100,-30.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E18,E19,8.690,84.300,3.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E18,E20,5.980,240.000,-6.100,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E20,E21,17.450,176.200,-32.100,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E21,E22,6.870,235.400,-1.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
E23,E13,24.340,299.600,-50.400,0.000,0.000,0.000,0.000,119.600,50.400,,
E24,E23,8.290,56.700,-83.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D26,E24,1.700,247.300,-46.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C28,F1,10.070,71.000,-26.200,0.000,0.000,0.000,0.000,251.800,26.000,,
F1,F2,6.580,349.300,-77.300,0.000,0.000,0.000,0.000,170.000,77.200,,
F2,F2A,5.530,242.400,-14.300,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F2A,F2B,2.820,186.600,1.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F2B,F2C,6.040,302.700,13.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F2,F3,20.010,111.800,-0.200,0.000,0.000,0.000,0.000,291.700,0.300,,
F3,F4,8.690,135.800,-9.800,0.000,0.000,0.000,0.000,315.700,9.700,,
F4,F5,6.080,27.500,-67.300,0.000,0.000,0.000,0.000,207.800,67.200,,
F5,F6,9.790,135.700,19.000,0.000,0.000,0.000,0.000,315.700,-19.000,,
F6,F7,8.210,252.900,35.900,0.000,0.000,0.000,0.000,73.000,-35.800,,
F7,F8,2.780,281.000,31.600,0.000,0.000,0.000,0.000,101.000,-31.700,,
F8,F9,8.300,299.300,17.800,0.000,0.000,0.000,0.000,119.200,-17.800,,
F9,F10,5.130,242.800,-11.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F10,F11,3.750,223.800,2.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F11,F12,6.290,262.700,3.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F12,F13,3.670,273.500,2.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F6,F14,10.900,37.500,-62.600,0.000,0.000,0.000,0.000,217.400,62.700,,
F14,F15,9.780,115.600,-15.100,0.000,0.000,0.000,0.000,295.600,15.000,,
F15,F15B,17.880,278.300,2.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F15,F16,4.850,88.900,-15.900,0.000,0.000,0.000,0.000,268.700,14.700,,
F16,F17,7.200,125.100,22.600,0.000,0.000,0.000,0.000,305.500,-22.500,,
F17,F18,8.080,191.900,56.900,0.000,0.000,0.000,0.000,12.000,-56.800,,
F18,F19,9.160,229.500,57.200,0.000,0.000,0.000,0.000,49.500,-57.200,,
F19,F20,4.480,219.500,41.300,0.000,0.000,0.000,0.000,39.700,-41.300,,
F21,F20,3.450,179.100,-2.400,0.000,0.000,0.000,0.000,359.000,2.400,,
F21,F6,19.390,308.300,-19.600,0.000,0.000,0.000,0.000,128.300,19.600,,
F20,F22,14.760,101.000,-25.800,0.000,0.000,0.000,0.000,281.100,25.700,,
F22,F23,19.140,111.300,-21.800,0.000,0.000,0.000,0.000,291.300,21.800,,
F23,F24,15.990,113.700,-3.300,0.000,0.000,0.000,0.000,293.800,3.400,,
F24,F24_,10.340,61.300,-59.300,0.000,0.000,0.000,0.000,241.200,59.200,,
F24_,F25A,18.650,-999.000,-999.000,0.000,0.000,0.000,0.000,91.300,-6.000,,
F24_,F26,7.580,328.300,-6.400,0.000,0.000,0.000,0.000,148.300,6.200,,
F24_,F27,9.360,103.400,-7.400,0.000,0.000,0.000,0.000,283.300,7.400,,
F28,F24_,11.240,79.300,-31.900,0.000,0.000,0.000,0.000,259.300,32.000,,
F28,F29,7.060,342.200,37.300,0.000,0.000,0.000,0.000,161.400,-37.600,,
F29,F30,17.660,73.900,2.500,0.000,0.000,0.000,0.000,253.800,-2.400,,
F31,F24_,8.710,123.800,50.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F31,F32,5.300,342.200,-21.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F32,F33,6.000,339.300,-69.300,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F33,F34,6.970,280.800,-2.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
F34,F35,8.220,308.500,63.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
